number,confidence,errors
26.0,0.9508291569318499,0.0
41.0,0.9551030276789787,0.0
29.0,0.9536625424541956,0.0
56.0,0.9578937957750645,0.0
62.0,0.9567801182372907,0.0
33.0,0.9510907208219603,0.0
41.0,0.9514844707347644,0.0
33.0,0.9518764007154997,0.0
35.0,0.9565314397428549,0.0
53.0,0.9668390707920116,0.0
50.0,0.953432838190717,0.0
44.0,0.9626138232168292,0.0
40.0,0.9561806847734049,0.0
27.0,0.9571265241739915,0.0
56.0,0.958113255449895,0.0
31.0,0.9577032891453077,0.0
42.0,0.9569565271896732,0.0
36.0,0.9593641604524965,0.0
48.0,0.959760510266191,0.0
29.0,0.9571463114753185,0.0
27.0,0.9514996642359859,0.0
29.0,0.9522925560333424,0.0
41.0,0.9598724924496916,0.0
31.0,0.9565523845764807,0.0
37.0,0.9580212562557917,0.0
38.0,0.9534335746477061,0.0
34.0,0.9520490308006582,0.0
37.0,0.9558226773893944,0.0
32.0,0.9517519011844162,0.0
25.0,0.9557075192344425,0.0
36.0,0.9562879015481138,0.0
63.0,0.9609688240073853,0.0
34.0,0.9579923978889671,0.0
29.0,0.9519930796442183,0.0
37.0,0.9561073174896275,0.0
50.0,0.9696477451192129,0.0
38.0,0.9517072224955596,0.0
41.0,0.9635164303621329,0.0
34.0,0.9659362049856894,0.0
30.0,0.9622875715787973,0.0
22.0,0.9617725137065783,0.0
37.0,0.9500075093843379,0.0
41.0,0.9592740345581511,0.0
35.0,0.9541534779844043,0.0
42.0,0.9523308583327736,0.0
38.0,0.9529799518642487,0.0
49.0,0.9680850495855637,0.0
33.0,0.9516613310564287,0.0
52.0,0.9529028373017983,0.0
39.0,0.9581967080639023,0.0
38.0,0.9502484654079096,0.0
30.0,0.9641827257721298,0.0
36.0,0.9553908681394501,0.0
38.0,0.959545945512843,0.0
44.0,0.9625780840278996,0.0
34.0,0.9576842876555557,0.0
35.0,0.9547521590539537,1.0
53.0,0.9579669913720079,0.0
41.0,0.9582888493801731,0.0
33.0,0.9500487795164699,0.0
47.0,0.9579271985932375,0.0
36.0,0.958356076183299,0.0
26.0,0.9594271639547958,0.0
57.0,0.9660724468418045,0.0
40.0,0.9556693072234406,0.0
25.0,0.9572414407084465,0.0
39.0,0.9551443937942798,0.0
60.0,0.9570232947282218,0.0
33.0,0.9548439601063394,0.0
39.0,0.9573763719931774,0.0
40.0,0.9564952706603612,0.0
42.0,0.9577986085405994,0.0
35.0,0.9612464940079405,0.0
32.0,0.9585306915881154,0.0
29.0,0.9558277528552365,0.0
31.0,0.9556424814664112,0.0
36.0,0.9504084707573642,0.0
40.0,0.9669397529320882,0.0
26.0,0.9568615051581021,0.0
37.0,0.9616020003439578,0.0
31.0,0.955524321776422,0.0
33.0,0.9586987550876176,0.0
45.0,0.9505373518194676,0.0
45.0,0.9683377152320098,0.0
41.0,0.9669684593738921,0.0
33.0,0.9572185158948252,0.0
48.0,0.9658404014620126,0.0
49.0,0.9599715440877935,0.0
46.0,0.9598511307757523,0.0
52.0,0.9567127174353445,0.0
52.0,0.9593259135957315,0.0
39.0,0.9576793487920329,0.0
29.0,0.9521525759138901,0.0
53.0,0.9597044229292392,0.0
47.0,0.950914681162332,0.0
58.0,0.9553671467908507,0.0
61.0,0.9641163058704241,0.0
46.0,0.9602299100411639,0.0
30.0,0.9607281078469372,0.0
63.0,0.9628771009565519,0.0
36.0,0.9547657002438712,0.0
46.0,0.9628594753677423,0.0
33.0,0.9556728261538854,0.0
50.0,0.9596550476368981,0.0
57.0,0.9519122917678072,0.0
49.0,0.9602688372383081,0.0
47.0,0.9576832792915214,0.0
42.0,0.958767814633505,0.0
38.0,0.9643653745918379,0.0
51.0,0.9739670989884308,0.0
34.0,0.9635895409380417,0.0
48.0,0.9649696804548403,0.0
33.0,0.9606919586162787,0.0
35.0,0.9556402283314371,0.0
40.0,0.9539968946045735,0.0
37.0,0.9622388594607085,0.0
26.0,0.9514902616817135,0.0
30.0,0.9612510062758335,0.0
36.0,0.9697596588808888,0.0
48.0,0.950235641499517,0.0
31.0,0.9532770012073252,0.0
33.0,0.9591274632678238,0.0
38.0,0.9531629717500413,0.0
37.0,0.9586245680752024,0.0
26.0,0.96356616896272,0.0
40.0,0.963467079341992,0.0
38.0,0.9607738615153958,0.0
30.0,0.9616105119245961,0.0
38.0,0.9527374158661861,0.0
