suggestion_1,suggestion_2,suggestion_3,positives,confidence,errors
3,8,9,1,0.5,3
2,5,6,2,0.6666666666666665,2
0,2,9,1,0.6666666666666665,2
3,4,5,2,0.6499999999999941,2
0,2,9,0,0.6481481481481447,2
0,6,8,1,0.6481481481481447,2
2,5,8,1,0.6481481481481447,2
4,5,8,0,0.6875000000000001,2
1,5,6,1,0.6875,2
3,4,5,1,0.6875,2
2,3,4,1,0.6875,2
4,6,7,2,0.6530054644808715,2
0,1,4,1,0.6530054644808715,2
5,6,9,0,0.6629711751662971,1
1,4,5,2,0.6546639231824418,1
1,4,6,1,0.6546639231824418,1
0,2,5,1,0.6546639231824418,1
2,5,7,1,0.6546639231824418,1
1,3,5,2,0.7168641750227895,0
2,5,7,1,0.7168641750227895,0
4,5,7,0,0.7573193269137245,1
1,5,7,0,0.7355821125674638,1
3,6,9,2,0.7209934538178817,1
1,6,7,0,0.7548759201639224,1
0,2,4,2,0.762344599164976,1
1,5,6,1,0.7623445991649762,1
1,3,6,1,0.7623445991649762,1
1,2,6,2,0.8339555765595467,1
1,3,4,2,0.8180479144718875,1
3,4,6,1,0.8180479144718875,1
3,4,9,2,0.7997178177909169,1
1,3,6,2,0.8569743087181261,1
2,3,9,1,0.8569743087181261,1
0,1,7,1,0.8569743087181261,1
1,3,6,2,0.8979296178014067,1
2,4,6,2,0.9238436170326969,1
1,3,4,1,0.9238436170326969,1
1,2,8,0,0.9397054697486521,1
1,3,4,2,0.9356237506900191,1
1,2,4,1,0.9356237506900191,1
1,3,4,2,0.9324174820060454,1
3,4,6,2,0.9536484965240394,1
0,7,9,1,0.5,3
2,4,7,2,0.6666666666666665,1
1,2,6,0,0.5,2
1,7,9,0,0.5416666666666666,1
1,4,8,1,0.5416666666666666,1
0,5,6,0,0.5374999999999993,1
7,8,9,1,0.5374999999999993,1
0,7,8,1,0.5374999999999993,1
2,5,7,1,0.5374999999999993,1
1,4,5,2,0.5151515151515158,1
3,5,7,1,0.5151515151515158,1
1,4,5,2,0.49999999999999983,1
1,3,4,2,0.6236947791164646,1
5,7,9,0,0.5998784933171316,0
4,5,8,1,0.5998784933171316,0
0,4,8,2,0.6288951841359769,1
4,5,6,1,0.6288951841359769,1
3,5,8,1,0.6288951841359769,1
2,4,5,2,0.6302764239086446,1
1,4,8,1,0.6302764239086447,1
2,5,8,0,0.6063228206004025,0
1,6,8,1,0.6063228206004024,0
0,3,4,2,0.6043516314115615,0
2,3,4,1,0.6043516314115615,0
3,4,5,0,0.6360872631758154,0
0,4,9,0,0.5250502680965148,0
0,1,2,2,0.6185664385514684,0
1,2,4,2,0.6956414325926812,0
2,5,8,1,0.6956414325926812,0
2,3,8,2,0.8187900527991614,0
2,4,7,2,0.8046377090663255,0
0,3,4,1,0.8046377090663255,0
0,2,4,1,0.8046377090663255,0
0,2,8,2,0.7964695195305787,0
0,2,7,1,0.7964695195305787,0
0,2,3,1,0.7964695195305787,0
2,3,6,2,0.8048101097621023,0
2,3,4,1,0.8048101097621023,0
0,4,7,1,0.8048101097621023,0
2,4,7,2,0.802341000057653,0
0,3,8,1,0.802341000057653,0
3,4,7,1,0.802341000057653,0
0,2,4,2,0.7974516187085612,0
3,4,8,0,0.8109602668171494,0
0,1,3,1,0.8109602668171494,0
3,4,7,2,0.8143476859876779,0
0,1,2,2,0.8720863120682691,0
0,1,3,1,0.8720863120682691,0
0,2,7,2,0.9176515757779932,0
0,3,4,1,0.9176515757779932,0
0,3,7,1,0.9176515757779932,0
0,3,4,1,0.9176515757779932,0
2,4,7,0,0.9142770644546595,0
1,2,3,1,0.9142770644546595,0
0,2,4,1,0.9142770644546595,0
1,2,4,1,0.9142770644546595,0
1,2,3,2,0.9039945890729406,0
0,2,4,1,0.9039945890729406,0
1,2,3,2,0.9287946120579291,0
0,2,8,2,0.9361465009617895,0
0,1,2,2,0.9564699122638533,0
0,1,4,2,0.6666666666666629,0
0,2,7,0,0.5000000000000009,1
0,3,9,1,0.5000000000000009,0
1,4,5,2,0.6333333333333289,1
1,4,6,1,0.6333333333333289,1
1,8,9,2,0.6401869158878478,1
5,6,7,1,0.6401869158878478,1
4,5,7,1,0.6401869158878478,1
2,4,5,2,0.7554644808743138,1
