suggestion_1,suggestion_2,suggestion_3,positives,confidence,errors
1,3,6,1,0.5,1
2,3,8,2,0.6666666666666661,0
0,6,8,1,0.6666666666666661,0
1,3,5,2,0.6499999999999941,0
2,3,8,2,0.7380952380952336,0
0,2,5,1,0.7380952380952336,0
0,1,6,2,0.7391304347826095,0
3,6,8,1,0.7391304347826095,0
0,7,9,1,0.7391304347826095,0
1,7,8,1,0.7391304347826095,0
1,3,4,1,0.7391304347826095,0
2,3,9,2,0.7777777777777775,0
3,4,6,2,0.7635135135135136,0
4,7,8,2,0.8111799816345264,0
0,2,5,2,0.8231407243572012,0
0,4,8,2,0.8790523690773062,0
0,4,6,1,0.8790523690773062,0
1,3,4,2,0.8779372205826838,0
4,7,8,2,0.9136115185308498,0
0,3,4,1,0.9136115185308498,0
1,3,9,0,0.8926425844460373,0
2,3,7,2,0.9222518612994874,0
0,2,4,1,0.9222518612994874,0
1,2,7,2,0.914408563635172,0
5,7,8,2,0.9151527607079006,0
1,5,8,2,0.9128210200881206,0
1,2,7,1,0.9128210200881206,0
4,6,7,2,0.9411043644502034,0
3,6,7,2,0.9508822048804437,0
3,4,9,1,0.5,1
1,3,6,2,0.6666666666666671,0
0,1,8,1,0.6666666666666671,0
1,4,7,1,0.6666666666666671,0
2,3,7,1,0.6666666666666671,0
1,4,6,2,0.6363636363636307,0
3,4,8,2,0.756410256410252,0
4,7,9,0,0.765624999999996,0
2,3,4,1,0.765624999999996,0
0,2,6,2,0.749262536873158,0
1,2,3,1,0.749262536873158,0
1,5,6,2,0.7686411149825783,0
3,8,9,1,0.7686411149825783,0
1,5,6,1,0.7686411149825783,0
1,4,8,2,0.7558216899534262,0
2,3,4,1,0.7558216899534262,0
1,3,6,2,0.8152316147605327,0
1,4,8,2,0.8147533731475334,0
1,5,6,1,0.8147533731475334,0
1,2,5,1,0.8147533731475334,0
1,3,6,2,0.859248888156811,0
3,4,8,2,0.9037500211817724,0
0,4,5,1,0.9037500211817724,0
3,4,7,1,0.9037500211817724,0
0,2,5,1,0.9037500211817724,0
3,5,6,1,0.9037500211817724,0
0,1,2,1,0.9037500211817724,0
1,2,7,1,0.9037500211817724,0
1,5,8,2,0.9105151965193378,0
1,5,6,1,0.9105151965193378,0
1,4,6,2,0.9064672971384524,0
3,4,6,1,0.9064672971384524,0
2,3,5,1,0.9064672971384524,0
0,5,7,2,0.9040020071264937,0
1,3,6,2,0.9293396965995023,0
1,5,8,1,0.9293396965995023,0
2,5,9,2,0.929839568518328,0
2,5,6,2,0.9423495821570365,0
1,2,5,1,0.9423495821570365,0
1,2,5,1,0.9423495821570365,0
0,2,9,0,0.9587415184267759,0
1,2,4,1,0.5,1
4,5,7,2,0.6666666666666666,0
0,6,7,2,0.6499999999999961,0
6,7,9,1,0.6499999999999961,0
4,7,9,1,0.6499999999999961,0
0,2,5,2,0.7777777777777741,0
0,1,2,1,0.7777777777777741,0
0,3,4,1,0.7777777777777741,0
1,6,8,2,0.7669491525423736,0
4,6,8,2,0.7627811860940692,0
3,7,8,1,0.7627811860940692,0
5,6,8,1,0.7627811860940692,0
5,6,7,2,0.8212903225806438,0
0,1,8,2,0.8359731952482481,0
0,1,9,1,0.8359731952482481,0
1,3,5,2,0.8281745154396039,0
3,4,8,1,0.8281745154396039,0
2,3,6,1,0.8281745154396039,0
3,4,6,2,0.8274984890940056,0
3,5,6,1,0.8274984890940056,0
0,1,4,2,0.8832008318253523,0
1,4,6,2,0.9146155082650163,0
0,5,6,2,0.9158981268559723,0
2,6,8,1,0.9158981268559723,0
4,5,9,0,0.9205403493706412,0
0,4,8,1,0.9205403493706412,0
3,6,7,2,0.9183548361516292,0
1,3,4,2,0.9204283644878121,0
2,5,8,2,0.9124143472546856,0
0,3,4,1,0.9124143472546856,0
0,6,9,2,0.9410639457940939,0
2,4,6,1,0.9410639457940941,0
0,3,4,2,0.9370994232794578,0
3,4,8,1,0.9370994232794578,0
4,5,8,2,0.9335303596220506,0
0,3,7,2,0.9325600494101118,0
2,3,6,2,0.9563885361601683,0
1,2,8,1,0.5,1
1,5,6,2,0.6666666666666672,0
1,4,8,2,0.6499999999999955,0
1,3,4,2,0.6410256410256374,0
4,6,7,1,0.6410256410256374,0
3,6,7,1,0.6410256410256374,0
1,6,8,2,0.7425149700598821,0
1,2,7,1,0.7425149700598821,0
6,7,8,1,0.7425149700598821,0
5,6,8,2,0.8219373219373233,0
1,3,9,0,0.8151537335285516,0
1,3,9,1,0.8151537335285516,0
4,5,6,1,0.8151537335285516,0
1,2,6,1,0.8151537335285516,0
1,5,7,1,0.8151537335285516,0
1,2,4,2,0.8244596731681615,0
0,5,6,2,0.8438380732769661,0
6,7,8,1,0.8438380732769661,0
5,7,8,2,0.875857710364752,0
0,4,8,1,0.875857710364752,0
2,6,8,2,0.8796754867066073,0
1,2,9,2,0.9092267515745661,0
1,4,5,2,0.9136816691059425,0
0,4,5,2,0.9213591802333316,0
0,1,5,1,0.9213591802333316,0
2,5,6,2,0.9287473257357439,0
1,3,5,2,0.9353459899681791,0
4,7,8,2,0.9467104683842069,0
0,2,6,1,0.9467104683842069,0
0,4,8,2,0.9600815244071088,0
5,8,9,2,0.6666666666666662,1
1,4,7,1,0.6666666666666662,1
0,2,3,2,0.6666666666666614,1
2,8,9,2,0.7638888888888846,1
2,4,9,2,0.7448979591836745,1
0,3,7,2,0.7600000000000005,1
4,5,9,1,0.7600000000000005,1
4,7,8,1,0.7600000000000005,1
3,6,7,1,0.7600000000000005,1
0,3,6,1,0.7600000000000005,1
1,2,9,1,0.7600000000000005,1
1,4,5,2,0.7651843817787416,1
3,8,9,0,0.7966585167074165,0
0,1,5,1,0.7966585167074165,0
1,2,5,2,0.7948740531971108,0
2,3,7,2,0.7628730592446678,0
2,5,6,2,0.7613826570403042,0
2,3,4,2,0.8233097914779666,0
1,2,5,1,0.8233097914779666,0
2,4,5,1,0.8233097914779666,0
0,3,5,2,0.8189748388699192,0
0,3,4,1,0.8189748388699192,0
2,3,5,2,0.8420053771455573,0
2,4,5,2,0.8686664517414961,0
3,5,9,1,0.8686664517414961,0
